Q1: [6.042, 6.164, 5.853],
Q2: [2.789, 1.807, 3.330],
Q3: [4.112, 3.620, 3.988],
Q4: [2.848, 2.837, 3.922],
Q5: [5.269, 6.217, 5.300],
Q6: [2.025, 1.982, 1.950],
Q7: [4.580, 4.158, 4.118],
Q8: [6.089, 5.661, 5.707],
Q9: [8.255, 8.226, 8.269],
Q10: [11.777, 6.332, 5.925],
Q11: [1.959, 1.666, 1.638],
Q12: [5.694, 3.109, 3.125],
Q13: [4.133, 8.230, 4.307],
Q14: [2.747, 2.724, 2.758],
Q15: [5.329, 5.132, 5.000],
Q16: [1.513, 1.465, 1.417],
Q17: [10.773, 10.531, 10.472],
Q18: [17.076, 16.769, 18.017],
Q19: [7.265, 4.638, 4.779],
Q20: [5.033, 4.983, 5.026],
Q21: [11.791, 10.501, 11.114],
Q22: [2.098, 2.295, 2.136],
